id,cell_count,cell_type,staining,objective,markers,set
2330,69,AHPC,Cy3,20x,PI,trainval
2664,128,AHPC,Cy3,20x,PI,trainval
812,53,AHPC,AF488,20x,MAP2ab,trainval
2859,46,RPC,Cy3,40x,TuJ1,trainval
393,0,AHPC,Cy3,20x,PI,trainval
1112,29,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2435,121,AHPC,Cy3,20x,Ki67 + RIP,trainval
2371,79,AHPC,Cy3,20x,PI,trainval
60,6,AHPC,Cy3,20x,RIP,trainval
1044,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
400,13,AHPC,Cy3,20x,RIP,trainval
700,1,AHPC,Cy3,20x,PI,trainval
2242,54,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1324,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
790,0,AHPC,Cy3,20x,MAP2ab,trainval
2123,0,AHPC,Cy3,20x,PI,trainval
1595,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2534,195,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1412,51,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
703,1,AHPC,Cy3,20x,PI,trainval
1142,13,AHPC,Cy3,20x,MAP2ab,trainval
2262,160,AHPC,Cy3,20x,Ki67 + RIP,trainval
4,0,AHPC,Cy3,20x,PI,trainval
2792,10,RPC,Cy3,40x,TuJ1,trainval
2695,36,RPC,Cy3,40x,TuJ1,trainval
1500,11,AHPC,Cy3,20x,RIP,trainval
1437,0,AHPC,Cy3,20x,PI,trainval
1049,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
516,7,AHPC,AF488,20x,Ki67 + TuJ1,trainval
690,1,AHPC,Cy3,20x,PI,trainval
1613,10,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
628,0,AHPC,Cy3,20x,PI,trainval
2185,166,AHPC,Cy3,20x,PI,trainval
976,1,AHPC,Cy3,20x,PI,trainval
2620,51,AHPC,Cy3,20x,PI,trainval
3006,16,RPC,Cy3,40x,TuJ1,trainval
1305,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2082,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2813,52,RPC,Cy3,40x,MAP2ab,trainval
2136,2,AHPC,Cy3,20x,PI,trainval
2905,60,RPC,Cy3,40x,TuJ1,trainval
1248,7,AHPC,Cy3,20x,RIP,trainval
2277,106,AHPC,Cy3,20x,Ki67 + RIP,trainval
2403,189,AHPC,Cy3,20x,PI,trainval
2436,11,AHPC,Cy3,20x,Ki67 + RIP,trainval
833,6,AHPC,AF488,20x,MAP2ab,trainval
1110,9,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1293,1,AHPC,AF488,20x,GFAP + Ki67,trainval
1177,1,AHPC,Cy3,20x,PI,trainval
639,0,AHPC,Cy3,20x,PI,trainval
2651,35,AHPC,Cy3,20x,PI,trainval
2967,31,RPC,Cy3,40x,MAP2ab,trainval
1176,0,AHPC,Cy3,20x,PI,trainval
2598,16,AHPC,Cy3,20x,PI,trainval
1485,0,AHPC,Cy3,20x,PI,trainval
1992,13,AHPC,Cy3,20x,RIP,trainval
799,26,AHPC,AF488,20x,MAP2ab,trainval
1268,8,AHPC,Cy3,20x,RIP,trainval
1472,0,AHPC,Cy3,20x,PI,trainval
2680,183,RPC,Cy3,40x,TuJ1,trainval
935,1,AHPC,AF488,20x,GFAP + Ki67,trainval
2576,0,AHPC,Cy3,20x,GFAP,trainval
2447,195,AHPC,Cy3,20x,Ki67 + RIP,trainval
1308,3,AHPC,AF488,20x,GFAP + Ki67,trainval
1486,1,AHPC,Cy3,20x,PI,trainval
2870,60,RPC,Cy3,40x,MAP2ab,trainval
1511,18,AHPC,Cy3,20x,RIP,trainval
3009,9,RPC,Cy3,40x,TuJ1,trainval
490,32,AHPC,Cy3,20x,MAP2ab,trainval
2132,2,AHPC,Cy3,20x,PI,trainval
1171,0,AHPC,Cy3,20x,PI,trainval
1633,5,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
864,0,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2971,25,RPC,Cy3,40x,MAP2ab,trainval
2305,2,AHPC,Cy3,20x,GFAP,trainval
1066,11,AHPC,AF488,20x,GFAP + Ki67,trainval
2315,2,AHPC,Cy3,20x,GFAP,trainval
106,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1263,27,AHPC,Cy3,20x,RIP,trainval
1960,1,AHPC,Cy3,20x,PI,trainval
1705,0,AHPC,Cy3,20x,PI,trainval
1,0,AHPC,Cy3,20x,PI,trainval
2885,87,RPC,Cy3,40x,MAP2ab,trainval
2559,75,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2774,44,RPC,Cy3,40x,GFAP,trainval
1409,6,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2356,37,AHPC,Cy3,20x,PI,trainval
535,14,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1870,35,AHPC,Cy3,20x,MAP2ab + RIP,trainval
311,0,AHPC,Cy3,20x,PI,trainval
1854,47,AHPC,Cy3,20x,MAP2ab + RIP,trainval
123,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1923,0,AHPC,Cy3,20x,PI,trainval
691,0,AHPC,Cy3,20x,PI,trainval
2063,44,AHPC,Cy3,20x,MAP2ab,trainval
1593,7,AHPC,AF488,20x,Ki67 + TuJ1,trainval
846,1,AHPC,AF488,20x,MAP2ab,trainval
2307,3,AHPC,Cy3,20x,GFAP,trainval
953,0,AHPC,Cy3,20x,PI,trainval
2953,37,RPC,Cy3,40x,MAP2ab,trainval
1471,2,AHPC,Cy3,20x,PI,trainval
1571,11,AHPC,Cy3,20x,MAP2ab,trainval
1146,21,AHPC,Cy3,20x,MAP2ab,trainval
670,0,AHPC,Cy3,20x,PI,trainval
2814,99,RPC,Cy3,40x,MAP2ab,trainval
1217,3,AHPC,Cy3,20x,PI,trainval
1077,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2469,51,AHPC,AF488,20x,Ki67 + RIP,trainval
2208,0,AHPC,Cy3,20x,PI,trainval
2860,88,RPC,Cy3,40x,TuJ1,trainval
2871,34,RPC,Cy3,40x,MAP2ab,trainval
1873,31,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2892,105,RPC,Cy3,40x,MAP2ab,trainval
1832,20,AHPC,Cy3,20x,MAP2ab + RIP,trainval
2531,329,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
135,5,AHPC,Cy3,20x,MAP2ab,trainval
2849,67,RPC,Cy3,40x,TuJ1,trainval
958,0,AHPC,Cy3,20x,PI,trainval
2525,141,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1214,0,AHPC,Cy3,20x,PI,trainval
983,2,AHPC,Cy3,20x,RIP,trainval
1641,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1332,2,AHPC,Cy3,20x,MAP2ab,trainval
882,4,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2853,71,RPC,Cy3,40x,TuJ1,trainval
1806,4,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2569,0,AHPC,Cy3,20x,GFAP,trainval
676,0,AHPC,Cy3,20x,PI,trainval
601,0,AHPC,Cy3,20x,PI,trainval
1708,0,AHPC,Cy3,20x,PI,trainval
1567,23,AHPC,Cy3,20x,MAP2ab,trainval
658,0,AHPC,Cy3,20x,PI,trainval
1945,0,AHPC,Cy3,20x,PI,trainval
1272,14,AHPC,Cy3,20x,RIP,trainval
2989,11,RPC,Cy3,40x,TuJ1,trainval
127,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1257,15,AHPC,Cy3,20x,RIP,trainval
2167,0,AHPC,Cy3,20x,PI,trainval
2014,4,AHPC,AF488,20x,GFAP + Ki67,trainval
1383,10,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1727,0,AHPC,Cy3,20x,PI,trainval
747,2,AHPC,Cy3,20x,PI,trainval
1826,75,AHPC,Cy3,20x,MAP2ab + RIP,trainval
839,17,AHPC,AF488,20x,MAP2ab,trainval
1062,6,AHPC,AF488,20x,GFAP + Ki67,trainval
1683,0,AHPC,Cy3,20x,PI,trainval
2542,192,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
159,6,AHPC,Cy3,20x,MAP2ab,trainval
681,0,AHPC,Cy3,20x,PI,trainval
800,14,AHPC,AF488,20x,MAP2ab,trainval
1052,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2261,215,AHPC,Cy3,20x,Ki67 + RIP,trainval
284,2,AHPC,Cy3,20x,PI,trainval
2828,73,RPC,Cy3,40x,MAP2ab,trainval
330,0,AHPC,Cy3,20x,PI,trainval
834,0,AHPC,Cy3,20x,MAP2ab,trainval
2446,18,AHPC,AF488,20x,Ki67 + RIP,trainval
524,0,AHPC,AF488,20x,Ki67 + TuJ1,trainval
950,3,AHPC,Cy3,20x,PI,trainval
225,0,AHPC,Cy3,20x,PI,trainval
2754,172,RPC,Cy3,40x,TuJ1,trainval
546,6,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
275,1,AHPC,Cy3,20x,PI,trainval
1890,7,AHPC,AF488,20x,Ki67 + TuJ1,trainval
16,0,AHPC,Cy3,20x,PI,trainval
2116,1,AHPC,AF488,20x,Ki67 + TuJ1,trainval
14,0,AHPC,Cy3,20x,PI,trainval
2249,6,AHPC,Cy3,20x,MAP2ab,trainval
280,0,AHPC,Cy3,20x,PI,trainval
2376,67,AHPC,Cy3,20x,PI,trainval
1009,39,AHPC,Cy3,20x,RIP,trainval
1645,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
300,0,AHPC,Cy3,20x,PI,trainval
2041,25,AHPC,Cy3,20x,MAP2ab,trainval
2091,32,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1099,1,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2518,119,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1713,0,AHPC,Cy3,20x,PI,trainval
1208,0,AHPC,Cy3,20x,PI,trainval
2321,4,AHPC,Cy3,20x,GFAP,trainval
2868,96,RPC,Cy3,40x,MAP2ab,trainval
1135,8,AHPC,Cy3,20x,MAP2ab,trainval
1542,0,AHPC,Cy3,20x,MAP2ab,trainval
2443,29,AHPC,AF488,20x,Ki67 + RIP,trainval
2437,1,AHPC,AF488,20x,Ki67 + RIP,trainval
917,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1802,17,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2693,208,RPC,Cy3,40x,TuJ1,trainval
565,0,AHPC,Cy3,20x,PI,trainval
2423,78,AHPC,AF488,20x,MAP2ab,trainval
1003,5,AHPC,Cy3,20x,RIP,trainval
1644,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2267,164,AHPC,Cy3,20x,Ki67 + RIP,trainval
2050,13,AHPC,Cy3,20x,MAP2ab,trainval
539,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1922,0,AHPC,Cy3,20x,PI,trainval
2372,92,AHPC,Cy3,20x,PI,trainval
406,64,AHPC,Cy3,20x,RIP,trainval
2570,3,AHPC,Cy3,20x,GFAP,trainval
2115,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1287,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2326,47,AHPC,Cy3,20x,PI,trainval
2673,113,RPC,Cy3,40x,TuJ1,trainval
2613,35,AHPC,Cy3,20x,PI,trainval
114,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2913,69,RPC,Cy3,40x,TuJ1,trainval
1196,0,AHPC,Cy3,20x,PI,trainval
2718,32,RPC,Cy3,40x,GFAP,trainval
1291,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2416,77,AHPC,Cy3,20x,PI,trainval
1033,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2931,15,RPC,Cy3,40x,TuJ1,trainval
1198,0,AHPC,Cy3,20x,PI,trainval
1101,6,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
931,4,AHPC,AF488,20x,GFAP + Ki67,trainval
2619,90,AHPC,Cy3,20x,PI,trainval
205,1,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1030,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2093,20,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1309,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
532,24,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2831,34,RPC,Cy3,40x,MAP2ab,trainval
1361,5,AHPC,Cy3,20x,MAP2ab,trainval
1506,2,AHPC,Cy3,20x,RIP,trainval
1297,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2244,173,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2908,45,RPC,Cy3,40x,TuJ1,trainval
1882,35,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1296,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
90,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
662,0,AHPC,Cy3,20x,PI,trainval
1817,6,AHPC,AF488,20x,MAP2ab,trainval
77,18,AHPC,Cy3,20x,RIP,trainval
511,31,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
998,6,AHPC,Cy3,20x,RIP,trainval
1751,0,AHPC,Cy3,20x,PI,trainval
1880,18,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2543,149,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1435,5,AHPC,Cy3,20x,PI,trainval
2629,243,AHPC,Cy3,20x,PI,trainval
1855,32,AHPC,Cy3,20x,MAP2ab + RIP,trainval
2464,61,AHPC,AF488,20x,Ki67 + RIP,trainval
1493,0,AHPC,Cy3,20x,PI,trainval
110,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
752,1,AHPC,Cy3,20x,PI,trainval
710,10,AHPC,Cy3,20x,PI,trainval
156,5,AHPC,Cy3,20x,MAP2ab,trainval
107,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
965,1,AHPC,Cy3,20x,PI,trainval
652,2,AHPC,Cy3,20x,PI,trainval
1697,0,AHPC,Cy3,20x,PI,trainval
997,33,AHPC,Cy3,20x,RIP,trainval
2857,43,RPC,Cy3,40x,TuJ1,trainval
2519,116,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2073,7,AHPC,AF488,20x,Ki67 + TuJ1,trainval
822,8,AHPC,AF488,20x,MAP2ab,trainval
351,0,AHPC,Cy3,20x,PI,trainval
23,0,AHPC,Cy3,20x,PI,trainval
1201,0,AHPC,Cy3,20x,PI,trainval
313,4,AHPC,Cy3,20x,PI,trainval
1700,0,AHPC,Cy3,20x,PI,trainval
1525,12,AHPC,Cy3,20x,RIP,trainval
299,12,AHPC,Cy3,20x,PI,trainval
1520,16,AHPC,Cy3,20x,RIP,trainval
286,0,AHPC,Cy3,20x,PI,trainval
1840,19,AHPC,Cy3,20x,MAP2ab + RIP,trainval
1274,11,AHPC,Cy3,20x,RIP,trainval
2553,170,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1461,0,AHPC,Cy3,20x,PI,trainval
361,0,AHPC,Cy3,20x,PI,trainval
1919,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1458,0,AHPC,Cy3,20x,PI,trainval
88,1,AHPC,AF488,20x,GFAP + Ki67,trainval
877,13,AHPC,AF488,20x,Ki67 + TuJ1,trainval
357,0,AHPC,Cy3,20x,PI,trainval
1467,0,AHPC,Cy3,20x,PI,trainval
2791,83,RPC,Cy3,40x,TuJ1,trainval
809,10,AHPC,AF488,20x,MAP2ab,trainval
374,0,AHPC,Cy3,20x,PI,trainval
150,3,AHPC,Cy3,20x,MAP2ab,trainval
2817,46,RPC,Cy3,40x,MAP2ab,trainval
1418,0,AHPC,Cy3,20x,PI,trainval
